#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-04-06 08:38:50 EDT     (vaww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 09246500 ELKHEAD CREEK NEAR CRAIG, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	09246500	42	2011-05-17 13:41:00	MDT	Yes	MMC/MFH	USGS	7.94	1990	Fair	-0.03	0.30	DebrisHeavy	NONE
USGS	09246500	43	2011-06-07 10:14:00	MDT	Yes	KLM CNM	USGS	8.17	2120	Fair	0.00	0.40	Clear	NONE
USGS	09246500	44	2011-06-22 09:04:00	MDT	Yes	MFH/DMH	USGS	4.40	632	Good	0.00	0.30	DebrisHeavy	NONE
USGS	09246500	45	2011-06-30 11:22:00	MDT	Yes	MMC	USGS	2.09	21.4	Fair	0.00	0.40	Clear	NONE
USGS	09246500	46	2011-06-30 11:55:00	MDT	Yes	MMC	USGS	2.09	21.2	Fair	0.00	0.40	Clear	NONE
USGS	09246500	47	2011-08-18 13:19:00	MDT	Yes	MMC	USGS	1.82	7.24	Fair	0.00	0.50	VegetationLight	NONE
USGS	09246500	48	2011-08-18 14:11:00	MDT	Yes	MMC	USGS	1.82	6.55	Good	0.00	0.40	VegetationLight	NONE
USGS	09246500	49	2011-10-06 08:08:00	MDT	Yes	MMC	USGS	1.81	4.24	Fair	0.00	0.40	DebrisHeavy	NONE
USGS	09246500	50	2011-11-30 15:03:00	MST	Yes	MFH	USGS	2.19	18.4	Good	0.00	0.40	DebrisHeavy	NONE
USGS	09246500	51	2011-11-30 16:59:00	MST	Yes	MFH	USGS	2.06	18.9	Good	0.00	0.30	DebrisHeavy	NONE
USGS	09246500	52	2012-02-01 12:03:00	MST	Yes	MMC/CNM	USGS	2.17	16.1	Fair	0.02	0.60	IceCover	NONE
USGS	09246500	53	2012-04-05 10:10:00	MDT	Yes	CNM	USGS	3.73	426	Poor		0.20	Clear	NONE
USGS	09246500	54	2012-05-15 13:18:00	MDT	Yes	CNM	USGS	2.26	37.1	Fair		0.60	Clear	NONE
USGS	09246500	55	2012-06-27 15:45:00	MDT	Yes	CNM	USGS	1.47	0.32	Poor		0.40	VegetationLight	OTHR
USGS	09246500	56	2012-06-27 16:42:00	MDT	Yes	CNM	USGS	1.46	0.24	Poor		0.30	VegetationLight	NONE
USGS	09246500	57	2012-07-05 12:38:00	MDT	Yes	CNM	USGS	2.24	37.6	Fair	0.00	0.70	Clear	NONE
USGS	09246500	58	2012-07-05 13:54:00	MDT	Yes	CNM	USGS	2.24	39.9	Fair	0.00	0.60	Clear	NONE
USGS	09246500	60	2012-08-22 10:48:00	MDT	Yes	CNM JPS	USGS	2.22	38.7	Good	0.00	0.70	Clear	NONE
